curr_state	curr_action	next_reward	next_state
2047	1	0	2032
2032	-1	0	2039
2039	1	0	2024
2024	0	0	2024
2024	-1	0	2031
2031	-1	0	2022
2022	-1	0	2013
2013	0	0	1877
1877	1	0	1742
1742	0	0	1734
1734	0	0	1726
1726	0	0	1718
1718	0	0	1710
1710	-1	0	1701
1701	1	0	1566
1566	0	0	1558
1558	1	0	1551
1551	-1	0	1670
1670	0	0	1670
1670	1	0	1671
1671	-1	0	1798
1798	1	0	1799
1799	0	0	1927
1927	0	0	1927
1927	1	0	1920
1920	-1	0	1927
1927	1	0	1920
1920	1	0	1921
1921	1	0	1930
1930	-1	0	1937
1937	0	0	1945
1945	0	0	1953
